Code,Code Name,Code Description
01,Wait for Approval,Wait for Approval
02,Approved,Approved
03,Cancel Requested,Cancel Requested
04,Canceled,Canceled
05,"Credit Note Generated",Credit Note Generated
06,Transferred,Transferred
